"target_city","dept_code","commune_code","insee_code","commune_name","ring","is_arrondissement"
"Annecy","74","10","74010","Annecy","0","FALSE"
"Annecy","74","3","74003","Alex","1","FALSE"
"Annecy","74","19","74019","Argonay","1","FALSE"
"Annecy","74","26","74026","La Balme-de-Sillingy","1","FALSE"
"Annecy","74","61","74061","Chapeiry","1","FALSE"
"Annecy","74","67","74067","Chavanod","1","FALSE"
"Annecy","74","98","74098","Cuvat","1","FALSE"
"Annecy","74","102","74102","Dingy-Saint-Clair","1","FALSE"
"Annecy","74","112","74112","Epagny Metz-Tessy","1","FALSE"
"Annecy","74","186","74186","Montagny-les-Lanches","1","FALSE"
"Annecy","74","198","74198","Nâves-Parmelan","1","FALSE"
"Annecy","74","213","74213","Poisy","1","FALSE"
"Annecy","74","219","74219","Quintal","1","FALSE"
"Annecy","74","267","74267","Sevrier","1","FALSE"
"Annecy","74","282","74282","Fillière","1","FALSE"
"Annecy","74","299","74299","Veyrier-du-Lac","1","FALSE"
"Annecy","74","303","74303","Villaz","1","FALSE"
"Annecy","74","310","74310","Viuz-la-Chiésaz","1","FALSE"
"Bordeaux","33","63","33063","Bordeaux","0","FALSE"
"Bordeaux","33","32","33032","Bassens","1","FALSE"
"Bordeaux","33","39","33039","Bègles","1","FALSE"
"Bordeaux","33","56","33056","Blanquefort","1","FALSE"
"Bordeaux","33","69","33069","Le Bouscat","1","FALSE"
"Bordeaux","33","75","33075","Bruges","1","FALSE"
"Bordeaux","33","119","33119","Cenon","1","FALSE"
"Bordeaux","33","162","33162","Eysines","1","FALSE"
"Bordeaux","33","167","33167","Floirac","1","FALSE"
"Bordeaux","33","249","33249","Lormont","1","FALSE"
"Bordeaux","33","281","33281","Mérignac","1","FALSE"
"Bordeaux","33","318","33318","Pessac","1","FALSE"
"Bordeaux","33","522","33522","Talence","1","FALSE"
"Lyon","69","381","69381","Lyon 1er Arrondissement","0","TRUE"
"Lyon","69","382","69382","Lyon 2e Arrondissement","0","TRUE"
"Lyon","69","383","69383","Lyon 3e Arrondissement","0","TRUE"
"Lyon","69","384","69384","Lyon 4e Arrondissement","0","TRUE"
"Lyon","69","385","69385","Lyon 5e Arrondissement","0","TRUE"
"Lyon","69","386","69386","Lyon 6e Arrondissement","0","TRUE"
"Lyon","69","387","69387","Lyon 7e Arrondissement","0","TRUE"
"Lyon","69","388","69388","Lyon 8e Arrondissement","0","TRUE"
"Lyon","69","389","69389","Lyon 9e Arrondissement","0","TRUE"
"Lyon","69","29","69029","Bron","1","FALSE"
"Lyon","69","34","69034","Caluire-et-Cuire","1","FALSE"
"Lyon","69","40","69040","Champagne-au-Mont-d'Or","1","FALSE"
"Lyon","69","63","69063","Collonges-au-Mont-d'Or","1","FALSE"
"Lyon","69","81","69081","Écully","1","FALSE"
"Lyon","69","89","69089","Francheville","1","FALSE"
"Lyon","69","142","69142","La Mulatière","1","FALSE"
"Lyon","69","149","69149","Oullins-Pierre-Bénite","1","FALSE"
"Lyon","69","191","69191","Saint-Cyr-au-Mont-d'Or","1","FALSE"
"Lyon","69","194","69194","Saint-Didier-au-Mont-d'Or","1","FALSE"
"Lyon","69","199","69199","Saint-Fons","1","FALSE"
"Lyon","69","202","69202","Sainte-Foy-lès-Lyon","1","FALSE"
"Lyon","69","244","69244","Tassin-la-Demi-Lune","1","FALSE"
"Lyon","69","259","69259","Vénissieux","1","FALSE"
"Lyon","69","266","69266","Villeurbanne","1","FALSE"
"Marseille","13","201","13201","Marseille 1er Arrondissement","0","TRUE"
"Marseille","13","202","13202","Marseille 2e Arrondissement","0","TRUE"
"Marseille","13","203","13203","Marseille 3e Arrondissement","0","TRUE"
"Marseille","13","204","13204","Marseille 4e Arrondissement","0","TRUE"
"Marseille","13","205","13205","Marseille 5e Arrondissement","0","TRUE"
"Marseille","13","206","13206","Marseille 6e Arrondissement","0","TRUE"
"Marseille","13","207","13207","Marseille 7e Arrondissement","0","TRUE"
"Marseille","13","208","13208","Marseille 8e Arrondissement","0","TRUE"
"Marseille","13","209","13209","Marseille 9e Arrondissement","0","TRUE"
"Marseille","13","210","13210","Marseille 10e Arrondissement","0","TRUE"
"Marseille","13","211","13211","Marseille 11e Arrondissement","0","TRUE"
"Marseille","13","212","13212","Marseille 12e Arrondissement","0","TRUE"
"Marseille","13","213","13213","Marseille 13e Arrondissement","0","TRUE"
"Marseille","13","214","13214","Marseille 14e Arrondissement","0","TRUE"
"Marseille","13","215","13215","Marseille 15e Arrondissement","0","TRUE"
"Marseille","13","216","13216","Marseille 16e Arrondissement","0","TRUE"
"Marseille","13","2","13002","Allauch","1","FALSE"
"Marseille","13","5","13005","Aubagne","1","FALSE"
"Marseille","13","22","13022","Cassis","1","FALSE"
"Marseille","13","70","13070","La Penne-sur-Huveaune","1","FALSE"
"Marseille","13","71","13071","Les Pennes-Mirabeau","1","FALSE"
"Marseille","13","75","13075","Plan-de-Cuques","1","FALSE"
"Marseille","13","88","13088","Le Rove","1","FALSE"
"Marseille","13","106","13106","Septèmes-les-Vallons","1","FALSE"
"Marseille","13","107","13107","Simiane-Collongue","1","FALSE"
"Montpellier","34","172","34172","Montpellier","0","FALSE"
"Montpellier","34","57","34057","Castelnau-le-Lez","1","FALSE"
"Montpellier","34","77","34077","Clapiers","1","FALSE"
"Montpellier","34","116","34116","Grabels","1","FALSE"
"Montpellier","34","123","34123","Juvignac","1","FALSE"
"Montpellier","34","129","34129","Lattes","1","FALSE"
"Montpellier","34","134","34134","Lavérune","1","FALSE"
"Montpellier","34","154","34154","Mauguio","1","FALSE"
"Montpellier","34","169","34169","Montferrier-sur-Lez","1","FALSE"
"Montpellier","34","240","34240","Saint-Aunès","1","FALSE"
"Montpellier","34","247","34247","Saint-Clément-de-Rivière","1","FALSE"
"Montpellier","34","270","34270","Saint-Jean-de-Védas","1","FALSE"
"Paris","75","101","75101","Paris 1er Arrondissement","0","TRUE"
"Paris","75","102","75102","Paris 2e Arrondissement","0","TRUE"
"Paris","75","103","75103","Paris 3e Arrondissement","0","TRUE"
"Paris","75","104","75104","Paris 4e Arrondissement","0","TRUE"
"Paris","75","105","75105","Paris 5e Arrondissement","0","TRUE"
"Paris","75","106","75106","Paris 6e Arrondissement","0","TRUE"
"Paris","75","107","75107","Paris 7e Arrondissement","0","TRUE"
"Paris","75","108","75108","Paris 8e Arrondissement","0","TRUE"
"Paris","75","109","75109","Paris 9e Arrondissement","0","TRUE"
"Paris","75","110","75110","Paris 10e Arrondissement","0","TRUE"
"Paris","75","111","75111","Paris 11e Arrondissement","0","TRUE"
"Paris","75","112","75112","Paris 12e Arrondissement","0","TRUE"
"Paris","75","113","75113","Paris 13e Arrondissement","0","TRUE"
"Paris","75","114","75114","Paris 14e Arrondissement","0","TRUE"
"Paris","75","115","75115","Paris 15e Arrondissement","0","TRUE"
"Paris","75","116","75116","Paris 16e Arrondissement","0","TRUE"
"Paris","75","117","75117","Paris 17e Arrondissement","0","TRUE"
"Paris","75","118","75118","Paris 18e Arrondissement","0","TRUE"
"Paris","75","119","75119","Paris 19e Arrondissement","0","TRUE"
"Paris","75","120","75120","Paris 20e Arrondissement","0","TRUE"
"Paris","92","12","92012","Boulogne-Billancourt","1","FALSE"
"Paris","92","24","92024","Clichy","1","FALSE"
"Paris","92","40","92040","Issy-les-Moulineaux","1","FALSE"
"Paris","92","44","92044","Levallois-Perret","1","FALSE"
"Paris","92","46","92046","Malakoff","1","FALSE"
"Paris","92","49","92049","Montrouge","1","FALSE"
"Paris","92","51","92051","Neuilly-sur-Seine","1","FALSE"
"Paris","92","62","92062","Puteaux","1","FALSE"
"Paris","92","64","92064","Saint-Cloud","1","FALSE"
"Paris","92","73","92073","Suresnes","1","FALSE"
"Paris","92","75","92075","Vanves","1","FALSE"
"Paris","93","1","93001","Aubervilliers","1","FALSE"
"Paris","93","6","93006","Bagnolet","1","FALSE"
"Paris","93","45","93045","Les Lilas","1","FALSE"
"Paris","93","48","93048","Montreuil","1","FALSE"
"Paris","93","55","93055","Pantin","1","FALSE"
"Paris","93","61","93061","Le Pré-Saint-Gervais","1","FALSE"
"Paris","93","66","93066","Saint-Denis","1","FALSE"
"Paris","93","70","93070","Saint-Ouen-sur-Seine","1","FALSE"
"Paris","94","18","94018","Charenton-le-Pont","1","FALSE"
"Paris","94","33","94033","Fontenay-sous-Bois","1","FALSE"
"Paris","94","37","94037","Gentilly","1","FALSE"
"Paris","94","41","94041","Ivry-sur-Seine","1","FALSE"
"Paris","94","42","94042","Joinville-le-Pont","1","FALSE"
"Paris","94","43","94043","Le Kremlin-Bicêtre","1","FALSE"
"Paris","94","52","94052","Nogent-sur-Marne","1","FALSE"
"Paris","94","67","94067","Saint-Mandé","1","FALSE"
"Paris","94","69","94069","Saint-Maurice","1","FALSE"
"Paris","94","80","94080","Vincennes","1","FALSE"
"Toulouse","31","555","31555","Toulouse","0","FALSE"
"Toulouse","31","22","31022","Aucamville","1","FALSE"
"Toulouse","31","44","31044","Balma","1","FALSE"
"Toulouse","31","56","31056","Beauzelle","1","FALSE"
"Toulouse","31","69","31069","Blagnac","1","FALSE"
"Toulouse","31","149","31149","Colomiers","1","FALSE"
"Toulouse","31","157","31157","Cugnaux","1","FALSE"
"Toulouse","31","182","31182","Fenouillet","1","FALSE"
"Toulouse","31","254","31254","Labège","1","FALSE"
"Toulouse","31","282","31282","Launaguet","1","FALSE"
"Toulouse","31","411","31411","Pechbusque","1","FALSE"
"Toulouse","31","433","31433","Portet-sur-Garonne","1","FALSE"
"Toulouse","31","445","31445","Quint-Fonsegrives","1","FALSE"
"Toulouse","31","446","31446","Ramonville-Saint-Agne","1","FALSE"
"Toulouse","31","506","31506","Saint-Orens-de-Gameville","1","FALSE"
"Toulouse","31","557","31557","Tournefeuille","1","FALSE"
"Toulouse","31","561","31561","L'Union","1","FALSE"
"Toulouse","31","575","31575","Vieille-Toulouse","1","FALSE"
